country_code	country	age	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
270	Gambia	30	2.034	2.172	2.339	2.498	2.612	2.673	2.748	2.82	2.889	2.968	3.063	3.144	3.233	3.318	3.383	3.428	3.485	3.538	3.601	3.685	3.798	3.913	4.032	4.175	4.331	4.47	4.594	4.673	4.658	4.472	4.335	4.871	5.175	5.501	5.862	6.158	6.473	6.8	7.153	7.522	7.844	8.184	8.54	8.901	9.28	9.553	9.767	9.925	10.06	10.12	10.195	10.208	10.264	10.254	10.232	10.194	10.202	10.272	10.468	10.922	11.435	12.02	12.614	13.267	13.944	14.676	15.304	15.998	16.635	17.304	18.034	18.845	19.534	20.154	20.755
270	Gambia	31	1.885	2.043	2.18	2.345	2.502	2.615	2.675	2.75	2.822	2.89	2.969	3.063	3.144	3.232	3.316	3.382	3.426	3.483	3.541	3.606	3.69	3.804	3.917	4.037	4.179	4.321	4.464	4.593	4.677	4.669	4.49	4.358	4.893	5.198	5.533	5.821	6.115	6.429	6.755	7.108	7.475	7.796	8.136	8.491	8.897	9.206	9.461	9.673	9.829	9.963	10.021	10.092	10.102	10.156	10.151	10.132	10.1	10.117	10.191	10.389	10.84	11.349	11.933	12.526	13.175	13.845	14.57	15.193	15.884	16.515	17.181	17.947	18.749	19.425	20.046
270	Gambia	32	1.795	1.893	2.049	2.185	2.348	2.504	2.615	2.675	2.749	2.821	2.889	2.967	3.06	3.141	3.229	3.312	3.377	3.422	3.483	3.543	3.607	3.692	3.805	3.919	4.039	4.159	4.303	4.449	4.581	4.669	4.665	4.49	4.361	4.895	5.204	5.473	5.757	6.05	6.361	6.685	7.035	7.401	7.72	8.065	8.484	8.824	9.117	9.371	9.58	9.735	9.867	9.921	9.989	9.997	10.057	10.054	10.041	10.017	10.038	10.114	10.311	10.759	11.267	11.849	12.439	13.081	13.744	14.465	15.085	15.771	16.398	17.098	17.855	18.644	19.321
270	Gambia	33	1.763	1.802	1.899	2.053	2.187	2.348	2.502	2.613	2.672	2.746	2.817	2.885	2.963	3.055	3.135	3.223	3.306	3.371	3.419	3.481	3.542	3.606	3.69	3.804	3.918	4.01	4.132	4.276	4.423	4.556	4.647	4.644	4.472	4.346	4.88	5.13	5.396	5.676	5.964	6.273	6.593	6.94	7.303	7.632	8.056	8.414	8.74	9.031	9.281	9.49	9.642	9.771	9.823	9.888	9.901	9.962	9.966	9.961	9.941	9.964	10.039	10.233	10.68	11.188	11.767	12.35	12.987	13.645	14.362	14.978	15.66	16.318	17.01	17.755	18.545
270	Gambia	34	1.726	1.766	1.805	1.901	2.053	2.186	2.345	2.497	2.607	2.666	2.739	2.81	2.877	2.955	3.047	3.127	3.213	3.296	3.365	3.414	3.477	3.537	3.602	3.687	3.801	3.882	3.974	4.095	4.24	4.386	4.519	4.61	4.608	4.439	4.315	4.796	5.041	5.303	5.577	5.862	6.166	6.483	6.826	7.203	7.621	7.99	8.334	8.657	8.945	9.195	9.402	9.55	9.676	9.726	9.796	9.81	9.876	9.887	9.886	9.868	9.89	9.965	10.159	10.605	11.109	11.683	12.261	12.894	13.548	14.261	14.873	15.584	16.233	16.914	17.661
270	Gambia	35	1.683	1.727	1.767	1.805	1.9	2.051	2.181	2.339	2.49	2.599	2.657	2.73	2.8	2.867	2.944	3.036	3.115	3.201	3.287	3.357	3.406	3.47	3.53	3.595	3.68	3.758	3.839	3.93	4.05	4.192	4.337	4.47	4.56	4.559	4.39	4.227	4.701	4.941	5.197	5.467	5.747	6.047	6.361	6.72	7.191	7.558	7.913	8.255	8.575	8.862	9.109	9.313	9.459	9.583	9.636	9.707	9.727	9.799	9.813	9.814	9.796	9.817	9.893	10.087	10.531	11.029	11.599	12.172	12.802	13.452	14.163	14.8	15.501	16.142	16.825
270	Gambia	36	1.652	1.682	1.726	1.765	1.803	1.897	2.046	2.175	2.331	2.48	2.588	2.646	2.718	2.788	2.855	2.932	3.022	3.101	3.191	3.277	3.347	3.396	3.461	3.521	3.586	3.633	3.709	3.789	3.877	3.994	4.136	4.278	4.409	4.499	4.495	4.297	4.133	4.599	4.834	5.085	5.35	5.625	5.922	6.252	6.707	7.13	7.485	7.838	8.178	8.496	8.78	9.024	9.225	9.369	9.496	9.551	9.626	9.651	9.727	9.742	9.743	9.724	9.747	9.823	10.015	10.455	10.949	11.515	12.085	12.712	13.357	14.092	14.72	15.414	16.057
270	Gambia	37	1.608	1.649	1.679	1.722	1.761	1.798	1.891	2.038	2.166	2.32	2.468	2.575	2.633	2.704	2.774	2.841	2.917	3.007	3.088	3.178	3.264	3.334	3.384	3.449	3.51	3.535	3.579	3.654	3.73	3.815	3.93	4.069	4.209	4.339	4.425	4.4	4.2	4.034	4.493	4.722	4.968	5.23	5.502	5.815	6.238	6.65	7.06	7.414	7.763	8.102	8.417	8.698	8.939	9.138	9.284	9.413	9.47	9.552	9.58	9.656	9.672	9.672	9.655	9.678	9.753	9.943	10.378	10.869	11.431	11.999	12.622	13.288	14.013	14.635	15.331
270	Gambia	38	1.552	1.604	1.644	1.674	1.717	1.755	1.792	1.884	2.029	2.156	2.308	2.455	2.561	2.618	2.689	2.759	2.825	2.9	2.992	3.074	3.164	3.25	3.32	3.369	3.436	3.455	3.478	3.521	3.591	3.663	3.745	3.858	3.994	4.133	4.256	4.331	4.303	4.102	3.933	4.386	4.61	4.852	5.11	5.398	5.801	6.184	6.584	6.992	7.343	7.69	8.026	8.339	8.616	8.854	9.056	9.202	9.335	9.397	9.48	9.51	9.585	9.6	9.603	9.586	9.609	9.682	9.869	10.301	10.79	11.349	11.913	12.555	13.212	13.93	14.554
270	Gambia	39	1.493	1.546	1.598	1.638	1.667	1.709	1.748	1.784	1.875	2.019	2.144	2.295	2.439	2.544	2.602	2.672	2.741	2.807	2.885	2.976	3.058	3.148	3.234	3.303	3.354	3.378	3.396	3.415	3.454	3.519	3.589	3.668	3.778	3.913	4.043	4.166	4.237	4.207	4.004	3.834	4.279	4.5	4.739	5.012	5.383	5.748	6.121	6.519	6.924	7.273	7.618	7.95	8.259	8.534	8.774	8.976	9.125	9.261	9.326	9.41	9.44	9.514	9.53	9.533	9.516	9.538	9.609	9.794	10.224	10.71	11.266	11.847	12.479	13.131	13.852
